,id,description,ingredients,categories,url
Spetsofai mit Kräuterzaziki,1200,"Spetsofai mit Kräuterzaziki (Σπετσοφάι) ist ein griechischer Klassiker, mit dem bei jedem Gang gepunktet werden kann. In Griechenland wird das Gericht üblicherweise mit Fetakäse gereicht.
","{'Chilischote', 'Tomate', 'Gemüsebrühe', 'Pfeffer', 'Knoblauch', 'Lorbeerblatt', 'Schmand', 'Paprikaschote', 'Möhre', 'Milch', 'Olivenöl', 'Zitronensaft', 'Fladenbrot', 'Petersilie', 'Paprikapulver', 'Basilikum', 'Joghurt', 'Speisestärke', 'Tomatenmark', 'Zwiebel', 'Rucola', 'Frankfurter Rindswurst', 'Salz'}","['Schwierigkeit leicht bis mittel', 'Rezepte mit Alkohol', 'Griechische Suppen', 'Wurstsuppen', 'Eintopf mit Fleisch']",https://www.kochwiki.org/wiki/Spetsofai_mit_Kr%C3%A4uterzaziki
Estofado (Schmortopf),1201,"Bei Estofado (spanisch für „Geschmortes, Ragout“, vom Verb estofar, „schmoren“) handelt es sich um einen Schmortopf mit Schweinefleisch. Der Name des Gerichts verrät den jahrhundertelangen Einfluss Spaniens auf den Philippinen.
","{'Indonesisches Lorbeerblatt', 'Zucker', 'Wasser', 'Kochbanane', 'Schweinefleisch', 'Essig', 'Lauchzwiebel', 'Knoblauch', 'Karotte', 'Sojasauce'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Schweinefleischeintopf', 'Eintopf mit Früchten', 'Banane', 'Asiatische Küche']",https://www.kochwiki.org/wiki/Estofado_(Schmortopf)
Plumm un Tüffel,1202,"Plumm un Tüffel bzw. Plum un Tüffel (platt Pflaumen und Kartoffeln) ist eine Kartoffeleintopf mit Backpflaumen und geräuchertem Schweinefleisch. Weitere Informationen zum Thema Vorpommern.
","{'Zimt', 'Zitrone', 'Zucker', 'Zwiebel', 'Lorbeer', 'Weizenmehl', 'Pfeffer', 'Butter', 'Kasseler', 'Gewürznelke', 'Pflaume', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Mecklenburger Küche', 'Schweinefleischeintopf', 'Eintopf mit Früchten', 'Kasseler']",https://www.kochwiki.org/wiki/Plumm_un_T%C3%BCffel
Pronkjewail,1203,"Pronkjewail ist ein Stamppot (die ndl. Form des Eintopfs) aus der Provinz Groningen. In der Hymne dieser Provinz wird diese als “Prunkjuwel” bezeichnet – die Stadt Groningen Groningen als leuchtender Edelstein inmitten der sie umgebenden Ommelanden, den Umländern.
","{'Wasser', 'Butter', 'Apfel', 'Zuckerrübensirup', 'Salz', 'Kartoffel', 'Fleischwurst'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Fleischwurst', 'Trockenfrüchte', 'Kartoffeleintopf', 'Eintopf mit Früchten', 'Eintopf mit Wurst', 'Groninger Küche']",https://www.kochwiki.org/wiki/Pronkjewail
Westfälisches Blindhuhn,1204,"Das westfälische Blindhuhn beinhaltet gar kein Huhn, wie man vermuten würde, sondern durchwachsenen Speck. Es ist ein traditionelles Eintopfgericht, das nicht nur in Westfalen gern gegessen wird. Die westfälische Zubereitung macht die Verwendung von Birnen zwingend, ohne Birnen nicht westfälisch, sondern niedersächsisch.
","{'Zucker', 'Wasser', 'Zwiebel', 'Birne', 'Pfeffer', 'Brot', 'Apfel', 'Petersilie', 'Speck', 'Karotte', 'Bohne', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Bohneneintopf', 'Kartoffeleintopf', 'Schweinefleischeintopf', 'Karotteneintopf', 'Eintopf mit Früchten', 'Westfälische Küche']",https://www.kochwiki.org/wiki/Westf%C3%A4lisches_Blindhuhn
Dämpfkraut,1205,"Dämpfkraut (auch Sauerkohl) ist eine Zubereitungsart von Sauerkraut in Thüringen. Dämpfkraut wird gerne als Basis für Sauerkrautsuppe mit Bratwurst oder Sauerkrauttopf mit Zervelatwurst verwandt, beides ebenfalls Gerichte aus Thüringer Küchen.
","{'Zucker', 'Mehl', 'Zwiebel', 'Weißkohl', 'Kasseler', 'Speck', 'Butterschmalz', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Weißkohl', 'Thüringer Küche', 'Eintopf mit Gemüse']",https://www.kochwiki.org/wiki/D%C3%A4mpfkraut
Fischpörkölt mit Spinatnockerl,1206,"Pörkölt, der Ungarische Eintopf ist den meisten bekannt. Traditionell wird dieses deftige Gericht mit Schweinefleisch zubereitet und ist nicht gerade das fettärmste und gesündeste Eintopfgericht, das serviert werden kann. Daher einmal die Variante mit frischem Fischfilet, Nordseekrabben, Garnelen und Muschelfleisch und Meeresfrüchten, begleitet von Spinat in Nockerlform als Fischpörkölt mit Spinatnockerl serviert. Eine gesunde und leichte Alternative, die Fischliebhaber erfreuen wird und um einen gewissen Touch an Mediterranen Küche nicht umherkommt.
","{'Krabbe', 'Kümmel', 'Paprika', 'Weizenmehl', 'Sauerrahm', 'Pfeffer', 'Muschel', 'Knoblauch', 'Muskat', 'Fisch', 'Milch', 'Chili', 'Garnele', 'Ei', 'Butter', 'Petersilie', 'Schalotte', 'Spinat', 'Salz'}","['Schwierigkeit mittel', 'Rezepte mit Alkohol', 'Gulasch', 'Scampi', 'Nordseekrabbe', 'Fischeintopf', 'Eintopf mit Gemüse']",https://www.kochwiki.org/wiki/Fischp%C3%B6rk%C3%B6lt_mit_Spinatnockerl
Futterrübensuppe,1207,"Die Futterrübensuppe gehört zu den Eintopfgerichten. Sie gilt als ""Arme-Leute-Essen"". Dennoch kann sie ganz köstlich sein. Die Rüben sind normalerweise nicht im Handel erhältlich, daher fragt man am besten einen Landwirt oder bei der Rübenernte. Man lässt sich Rüben geben, die noch nicht ausgereift sind, weil sie sonst dazu neigen, holzig zu sein. Der einfache ""Rübenklau"" auf dem Feld ist als Diebstahl strafbar. 
","{'Muskat', 'Zwiebel', 'Brühe', 'Wiener Würstchen', 'Kümmel', 'Maggi-Würze', 'Pfeffer', 'Futterrübe', 'Sauerrahm', 'Speck', 'Sonnenblumenöl', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Eintopf mit Gemüse', 'Eintopf mit Wurst', 'Rüben']",https://www.kochwiki.org/wiki/Futterr%C3%BCbensuppe
Gemüseeintopf,1208,"Gemüseeintopf ist ein einfaches, sättigendes Gericht, das man aus wenigen Zutaten zubereiten kann. Die Zutaten können, je nach Belieben und Jahreszeit, variiert werden. Mit frischen Zutaten schmeckt es natürlich am besten, doch Konserven können ebenfalls verwendet werden.
","{'Zwiebel', 'Wasser', 'Petersilie', 'Lauch', 'Sellerie', 'Karotte', 'Kohlrabi', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Eintopf mit Gemüse', 'Gemüsesuppen mit gemischtem Gemüse', 'Vegetarische Hauptspeise', 'Vegetarische Suppe', 'Vegetarische Vorspeise']",https://www.kochwiki.org/wiki/Gem%C3%BCseeintopf
Gumbo,1209,"Gumbo ist ein würziges Eintopfgericht aus der Cajun-Küche des US-Bundesstaates Louisiana
","{'Poularde', 'Zwiebel', 'Knoblauch', 'Chili', 'Tomate', 'Weizenmehl', 'Paprika', 'Lorbeer', 'Pfeffer', 'Petersilie', 'Gewürzthymian', 'Sellerie', 'Salz', 'Erdnussöl'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Cajun-Küche', 'Hühnerfleischeintopf', 'Eintopf mit Gemüse', 'Tomateneintopf', 'Paprika']",https://www.kochwiki.org/wiki/Gumbo
Kürbis-Tofu-Eintopf,1210,"Kürbis als Suppe serviert ist meist cremig zubereitet und ohne ganze Fruchtstücke mit leichtem Biss. Daher dieses leckere Gericht, der Kürbis-Tofu-Eintopf, in dem sich als Sättigungsbeilage kleine Pasta die Ehre gibt.
","{'Wasser', 'Tomate', 'Pfeffer', 'Sauerrahm', 'Hokkaido-Kürbis', 'Nudel', 'Crème fraîche', 'Knoblauch', 'Kartoffel', 'Kürbiskernöl', 'Currypulver', 'Muskat', 'Lammhackfleisch', 'Putenbrust', 'Gewürzthymian', 'Olivenöl', 'Chili', 'Tofu', 'Orangensaft', 'Zucker', 'Zwiebel', 'Lorbeer', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Eintopf mit Gemüse', 'Hausmannskost', 'Kürbis', 'Tofu', 'Vegane Hauptspeisen', 'Vegane Suppen', 'Vegane Vorspeisen']",https://www.kochwiki.org/wiki/K%C3%BCrbis-Tofu-Eintopf
Lauchgemüse mit Würsten,1211,"Das Lauchgemüse mit Würsten ist ein deftiges, regionales Gericht aus dem Kanton Waadt (frz. Vaud).
","{'Meersalz', 'Muskat', 'Zwiebel', 'Mettwurst', 'Weizenmehl', 'Butter', 'Milch', 'Polnische', 'Pfeffer', 'Lauch', 'Knoblauch', 'Brot', 'Kartoffel', 'Sahne'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Waadtländer und Genfer Küche', 'Eintopf mit Gemüse', 'Eintopf mit Wurst', 'Kartoffeleintopf', 'Wurstküche', 'Lauch']",https://www.kochwiki.org/wiki/Lauchgem%C3%BCse_mit_W%C3%BCrsten
Locro de zapallo (Kürbiseintopf),1212,"Locro de zapallo (span. Kürbiseintopf) ist ein Gericht der andinen Küche Perus und Argentiniens und ein Beispiel für die Verschmelzung indianischer und spanischer Küche. 
","{'Zwiebel', 'Erbse', 'Pfeffer', 'Feta', 'Brühwürfel', 'Mais', 'Ají amarillo', 'Knoblauch', 'Karotte', 'Kürbis', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Argentinische Küche', 'Eintopf mit Gemüse', 'Peruanische Küche', 'Vegetarische Hauptspeise', 'Vegetarische Suppe', 'Vegetarische Vorspeise']",https://www.kochwiki.org/wiki/Locro_de_zapallo_(K%C3%BCrbiseintopf)
Mairübchen-Eintopf mit Kasseler,1213,"Mairübchen-Eintopf mit Kasseler ist ein leckerer Eintopf, der den Frühling einläutet.
","{'Mairübe', 'Zucker', 'Zwiebel', 'Brühe', 'Erbse', 'Pfeffer', 'Kasseler', 'Lauch', 'Knoblauch', 'Kerbel', 'Karotte', 'Kohlrabi', 'Salz', 'Olivenöl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Eintopf mit Gemüse', 'Kasseler', 'Rüben']",https://www.kochwiki.org/wiki/Mair%C3%BCbchen-Eintopf_mit_Kasseler
Mallorquinischer Gemüseeintopf,1214,"Ein köstlicher Gemüseeintopf, der an den Urlaub und Sonne erinnert, ist der mallorquinische Gemüseeintopf. Karotten, Sellerie, Auberginen, Tomaten und Oliven vereint bringen die Sonne auf den Tisch.
","{'Zucchini', 'Tomate', 'Paprika', 'Pfeffer', 'Nudel', 'Knoblauch', 'Karotte', 'Rosmarin', 'Olive', 'Gewürzthymian', 'Olivenöl', 'Chili', 'Basilikum', 'Sellerie', 'Schalotte', 'Oregano', 'Aubergine', 'Zucker', 'Bohne', 'Salz'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Balearen-Küche', 'Eintopf mit Gemüse']",https://www.kochwiki.org/wiki/Mallorquinischer_Gem%C3%BCseeintopf
Rassolnik,1215,"Rassolnik (russisch: Рассольник) ist eine salzig-saure Suppe der russischen Küche. 
","{'Pastinake', 'Schmand', 'Zwiebel', 'Buchweizen', 'Lorbeer', 'Pfeffer', 'Butter', 'Gurke', 'Dill', 'Lauchzwiebel', 'Petersilie', 'Sellerie', 'Karotte', 'Kartoffel', 'Estragon'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Eintopf mit Gemüse', 'Schtschi, Soljanka & Co - russische Suppen und Eintöpfe', 'Vegetarische Hauptspeise', 'Vegetarische Suppe', 'Vegetarische Vorspeise']",https://www.kochwiki.org/wiki/Rassolnik
Weimarer Schnippeltopf,1216,"Der Weimarer Schnippeltopf ist eine Thüringer Gemüsespezialität, die leicht zuzubereiten, schmackhaft und gesund ist. Am besten verwendet man – wie üblich – frische Zutaten, es können aber auch Konserven und Tiefkühlwaren verwendet werden. Der Eintopf kann als leichte Haupt- oder Vorspeise auf den Tisch gebracht werden. Die angegebene Vorbereitungszeit wird benötigt, wenn man allein in der Küche arbeitet. 
","{'Wurst', 'Zwiebel', 'Schälrippe', 'Gemüse', 'Kümmel', 'Paprika', 'Pfeffer', 'Petersilie', 'Speck', 'Knoblauch', 'Kerbel', 'Butterschmalz', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Thüringer Küche', 'Karottensuppen', 'Eintopf mit Gemüse', 'Eintopf mit Wurst', 'Rezept des Monats', 'Exzellent']",https://www.kochwiki.org/wiki/Weimarer_Schnippeltopf
Wintergemüsesuppe,1217,"Diese Wintergemüsesuppe schmeckt besonders an kalten Wintertagen und heizt förmlich von innen heraus. Zudem schmeckt sie durch den Weißkohl leicht süßlich.
","{'Zucker', 'Knoblauch', 'Erbse', 'Weißkohl', 'Pfeffer', 'Mais', 'Lauchzwiebel', 'Misopaste', 'Gewürzthymian', 'Sellerie', 'Salz', 'Karotte', 'Bohne', 'Crème fraîche', 'Tomatenmark', 'Kartoffel', 'Olivenöl'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Eintopf mit Gemüse', 'Eintopf mit Hülsenfrüchten', 'Gemüsesuppen mit gemischtem Gemüse', 'Vegetarische Hauptspeise', 'Vegetarische Suppe', 'Vegetarische Vorspeise']",https://www.kochwiki.org/wiki/Wintergem%C3%BCsesuppe
Feuriger Bulgur,1218,"Bulgur ist ein vorgekochter (hydrothermisch vorbehandelter) Weizen. Der Eintopf feuriger Bulgur wurde kreiert, um etwas Abwechslung in unsere von Kartoffeln, Teigwaren und allenfalls noch Reis geprägte Küche zu bringen.
","{'Peperoni', 'Tabasco', 'Zwiebel', 'Bulgur', 'Tomate', 'Sauerrahm', 'Sambal', 'Pfeffer', 'Knoblauch', 'Rindfleisch', 'Joghurt', 'Salz', 'Olivenöl'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Rindfleischeintopf', 'Rind', 'Eintopf mit Getreide', 'Tomateneintopf']",https://www.kochwiki.org/wiki/Feuriger_Bulgur
Groaty pudding,1219,"Groaty Pudding (auch als Groaty Dick bekannt) ist ein traditionelles Gericht der englischen Küche. Das Gericht stammt aus dem Black Country, dem Bergbaugebiet nördlich und westlich von Birmingham, und besteht aus Grütze, Rindfleisch, Porree, Zwiebeln und Rinderbrühe, die zusammen bei etwa 150 °C  für bis zu 16 Stunden gebacken werden. Im Black Country ist es üblich, Groaty Pudding in der Guy-Fawkes-Nacht (5.11.) zu essen.
","{'Zwiebel', 'Grütze', 'Knochenmark', 'Lorbeer', 'Pfeffer', 'Lauch', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Eintopf mit Getreide', 'Rindfleischeintopf', 'Englische Küche']",https://www.kochwiki.org/wiki/Groaty_pudding
Portugiesischer Reistopf,1220,"Portugiesische Reistopf ist ein Rezept für ein portugiesisches Hauptgericht von der Mutter des Verfassers.
","{'Zwiebel', 'Wasser', 'Tomate', 'Gemüse', 'Schweinefleisch', 'Paprika', 'Pfeffer', 'Brühwürfel', 'Knoblauch', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Schweinefleischeintopf', 'Bohneneintopf', 'Eintopf mit Getreide', 'Reis', 'Tomateneintopf']",https://www.kochwiki.org/wiki/Portugiesischer_Reistopf
Serbisches Reisfleisch,1221,"Das serbische Reisfleisch ist ein schönes serbisches Gericht, das auch in anderen Staaten des ehemaligen Jugoslawien bekannt ist. Herrlich einfach herzustellen und lecker.
","{'Zwiebel', 'Schweinefleisch', 'Lorbeer', 'Paprika', 'Pfeffer', 'Basilikum', 'Knoblauch', 'Salz', 'Karotte', 'Oregano', 'Tomatenmark'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Serbische Küche', 'Schweinefleischeintopf', 'Eintopf mit Getreide', 'Reis']",https://www.kochwiki.org/wiki/Serbisches_Reisfleisch
Bableves (ungar. Bohnensuppe),1222,"Bableves (ungarisch für Bohnensuppe), ist ähnlich der serbischen Bohnensuppe. Auf dem Balkan gibt es verschiedene Versionen davon. Die hier beschriebene kommt aus Ungarn, letztlich ist es eine Variante des Bohnengulasch. Für die vegetarische Version Hinweis unten beachten.
","{'Kidneybohne', 'Limabohne', 'Kümmel', 'Paprika', 'Pfeffer', 'Sauerrahm', 'Knoblauch', 'Karotte', 'Schweinehachse', 'Lauch', 'Tofu', 'Petersilie', 'Speck', 'Wurzelpetersilie', 'Zwiebel', 'Debrecziner', 'Majoran', 'Lorbeer', 'Sonnenblumenöl', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Bohneneintopf', 'Eintopf mit Wurst', 'Wurstsuppen', 'Weiße-Bohnen-Suppen', 'Ungarische Küche']",https://www.kochwiki.org/wiki/Bableves_(ungar._Bohnensuppe)
Blote billetjes in het gras,1223,"Blote billetjes in het gras kann übersetzt werden mit ""nackte Hintern im Gras"" und deutet auf die weißen Bohnen inmitten der grünen Schnittbohnen.
","{'Rookworst', 'Butter', 'Milch', 'Bohne', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Bohneneintopf', 'Kartoffeleintopf', 'Eintopf mit Wurst', 'Noord-Brabanter Küche']",https://www.kochwiki.org/wiki/Blote_billetjes_in_het_gras
Cocido mixto,1224,"Cocido mixto  (koßido mischto) ist der spanische Ausdruck für ""gemischtes Gekochtes"". 
","{'Chorizo', 'Morcilla', 'Piment', 'Knochenmark', 'Lorbeer', 'Karotte', 'Sellerie', 'Pfeffer', 'Olivenöl', 'Hühnerbrust', 'Kichererbse', 'Knoblauch', 'Rindfleisch', 'Schalotte', 'Lauch', 'Salz', 'Schweinebauch'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Spanische Suppen', 'Rindfleischeintopf', 'Schweinefleischeintopf', 'Hühnerfleischeintopf', 'Eintopf mit Wurst', 'Lauch', 'Kichererbse', 'Gemüsesuppen']",https://www.kochwiki.org/wiki/Cocido_mixto
Eintopf nach Genter Art,1225,"Ein Rezept aus dem flämischen Teil Belgiens. Eine Spezialität aus der Stadt Gent. Die original bäuerliche, flämische Küche, ist eine, dem Klima angepasste, schwere Küche. Ein optimales Herbst- und Winteressen. Diese Art von ähnlichen Rezepten findet man in den Niederlanden und ebenfalls in Norddeutschland (niederl. Gentse hutspot).
","{'Meersalz', 'Wasser', 'Sauerteig', 'Lammfleisch', 'Pfeffer', 'Karotte', 'Kalbfleisch', 'Bratwurst', 'Kartoffel', 'Muskat', 'Teltower Rübchen', 'Lauch', 'Gewürzthymian', 'Schweinefuß', 'Petersilie', 'Sellerie', 'Rindfleisch', 'Senf', 'Zwiebel', 'Lorbeer', 'Wirsing', 'Schweinebacke', 'Kohlrabi'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Flandrische Küche', 'Rindfleischeintopf', 'Schweinefleischeintopf', 'Lammfleischeintopf', 'Eintopf mit Wurst', 'Wurzelgemüse']",https://www.kochwiki.org/wiki/Eintopf_nach_Genter_Art
Gemischter Bohneneintopf mit Bündnerfleischklößchen,1226,"Gemischter Bohneneintopf mit Bündnerfleischklößchen ist ein Rezept für eine deftige, schmackhafte Gemüsesuppe. Dies ist eine typische Speise des Schweizer Kantons Graubünden und gehört hier zur klassischen Graubündner Küche. Sofern es Bündnerfleisch außerhalb von Graubündens nicht gibt, kann man auch anderes gepökeltes, mageres Fleisch verwenden.
","{'Kidneybohne', 'Limabohne', 'Pintobohne', 'Bündnerfleisch', 'Brühe', 'Paprika', 'Pfeffer', 'Petersilie', 'Gewürzthymian', 'Wurstbrät', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Graubündner Küche', 'Bohneneintopf', 'Rindfleischeintopf', 'Eintopf mit Wurst']",https://www.kochwiki.org/wiki/Gemischter_Bohneneintopf_mit_B%C3%BCndnerfleischkl%C3%B6%C3%9Fchen
Grünkohl Holsteiner Art,1227,"Grünkohl (auch Braunkohl, Krauskohl oder Winterkohl) ist ein Traditionsgemüse aus dem Norden Deutschlands und den Niederlanden. Eines der bekanntesten Gerichte mit Grünkohl wird bei der Bremer Schaffermahlzeit gereicht: Braunkohl mit Pinkel oder Pinkel mit Kohl. Grünkohl schmeckt, ähnlich wie bei Rosenkohl, so richtig erst nach dem ersten Frost. Das Wintergemüse ist sehr gesund, denn es enthält viel Vitamin A und den höchsten Kalziumgehalt aller Gemüsesorten. Leider geht der hohe Vitamin-C-Gehalt während des Kochens weitgehend verloren. Grünkohl wird von Oktober bis März frisch auf den Märkten angeboten, ist aber auch als Tiefkühlware zu erhalten, auch in Süddeutschland. 
","{'Zucker', 'Zwiebel', 'Wasser', 'Grünkohl', 'Bauchspeck', 'Butter', 'Pfeffer', 'Kohlwurst', 'Kasseler', 'Senf', 'Butterschmalz', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Exzellent', 'Rezept des Monats', 'Cabanossi', 'Eintopf mit Wurst', 'Grünkohl', 'Kartoffeleintopf', 'Kasseler', 'Schweinefleischeintopf']",https://www.kochwiki.org/wiki/Gr%C3%BCnkohl_Holsteiner_Art
Grünkohleintopf,1228,"Der Grünkohleintopf ist ein hervorragendes Gericht und kann als Ersatz für den klassischen Grünkohl auf norddeutsche Art angesehen werden. Dabei ist das Gericht nicht weniger, sondern ebenfalls sehr schmackhaft.
","{'Zwiebel', 'Piment', 'Grünkohl', 'Brühe', 'Mettwurst', 'Pfeffer', 'Kasseler', 'Senf', 'Karotte', 'Schinken', 'Salz', 'Kartoffel', 'Olivenöl'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Grünkohl', 'Eintopf mit Wurst', 'Deutsche Küche']",https://www.kochwiki.org/wiki/Gr%C3%BCnkohleintopf
Innviertler Karotteneintopf,1229,"Dieser schmack- und herzhafte Karotteneintopf kommt aus dem Innviertel, in Oberösterreich. Er wurde schon in Kindeszeiten vor Jahrzehnten von der Mutter des Autors zubereitet und von Oma der Köchin übermittelt.
","{'Wurst', 'Zucker', 'Zwiebel', 'Majoran', 'Butter', 'Essig', 'Pfeffer', 'Petersilie', 'Gewürzthymian', 'Knoblauch', 'Karotte', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Innviertler Küche', 'Karotteneintopf', 'Kartoffeleintopf', 'Eintopf mit Wurst']",https://www.kochwiki.org/wiki/Innviertler_Karotteneintopf
Landjägersuppe,1230,"Die Landjägersuppe kann eine schöne Hauptspeise sein, ein Partygericht oder eine Vorspeise. Diese fruchtige, herzhafte Suppe ist für viele Situationen geeignet. Und man kann auch große Menge davon herstellen, was nicht mit viel Arbeit verbunden ist.
","{'Champignon', 'Landjäger', 'Zwiebel', 'Mehl', 'Schweinenacken', 'Majoran', 'Tomate', 'Brühe', 'Paprika', 'Pfeffer', 'Petersilie', 'Salz', 'Rindergulasch'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Rindfleischeintopf', 'Schweinefleischeintopf', 'Eintopf mit Wurst', 'Tiroler Küche', 'Kärntner Küche', 'Wurstküche']",https://www.kochwiki.org/wiki/Landj%C3%A4gersuppe
Rosenkohltopf nach Debrecziner Art,1231,"Ein deftiger Eintopf.
","{'Zwiebel', 'Debrecziner', 'Rosenkohl', 'Walnuss', 'Eisbergsalat', 'Paprika', 'Butterschmalz', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Rosenkohl', 'Eintopf mit Wurst', 'Deutsche Küche']",https://www.kochwiki.org/wiki/Rosenkohltopf_nach_Debrecziner_Art
Schnippelbohnensuppe mit Bohnen aus der Dose,1232,"Schnippelbohnensuppe ist eine ganz einfache Suppe mit grünen Bohnen aus der Dose. So schnell hat man noch nie ein Mittagessen gezaubert und dann noch so lecker. Ein Rezept meiner Mutter.
","{'Meersalz', 'Zwiebel', 'Mettwurst', 'Pfeffer', 'Speck', 'Senf', 'Bohne', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Grüne-Bohnen-Suppen', 'Eintopf mit Wurst']",https://www.kochwiki.org/wiki/Schnippelbohnensuppe_mit_Bohnen_aus_der_Dose
Snert,1233,"Sobald es wieder kalt wird, ist diese holländische Erbsensuppe (niederl. Snert oder feiner: Erwtensoep) überall erhältlich. Traditionell wird sie mit Schwarzbrot (ndl. roggenbrood) serviert, das mit Katenspeck belegt wird. Vorsicht: Das Gericht ist sehr schweinefleischhaltig.
","{'Wasser', 'Zwiebel', 'Liebstöckel', 'Knochenmark', 'Erbse', 'Lorbeer', 'Sellerie', 'Schweinehachse', 'Rookworst', 'Pfeffer', 'Vollkornbrot', 'Speck', 'Lauch', 'Karotte', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Schweinefleischeintopf', 'Eintopf mit Wurst', 'Erbsensuppen', 'Niederländische Küche']",https://www.kochwiki.org/wiki/Snert
Bengalisches Fischcurry,1234,"Typische Gerichte der indischen Küche sind wohl Currys in den unterschiedlichsten Varianten. Mit feinem Fisch zubereitet mundet ein Bengalisches Fischcurry aber nicht nur Indern, sondern erfreut auch auf mitteleuropäischen Tischen die Gästeschaft.
","{'Currypulver', 'Köhler', 'Chili', 'Zwiebel', 'Koriander', 'Garnele', 'Pfeffer', 'Lime Juice', 'Joghurt', 'Senf', 'Salz', 'Erdnussöl', 'Olivenöl'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Fischeintopf', 'Indische Currygerichte', 'Seelachs']",https://www.kochwiki.org/wiki/Bengalisches_Fischcurry
Bouillabaisse,1235,"Einst von den Fischern in Marseille als billiges Gericht erfunden, avancierte die Bouillabaise zu einem Klassiker der südfranzösischen Küche (provenzalisch Bouiabaisso).
","{'Krabbe', 'Tomate', 'Pfeffer', 'Knoblauch', 'Kartoffel', 'Zitrone', 'Lauch', 'Gewürzthymian', 'Olivenöl', 'Chili', 'Miesmuschel', 'Croûton', 'Safran', 'Ei', 'Petersilie', 'Orange', 'Tomatenmark', 'Zwiebel', 'Lorbeer', 'Fenchel', 'Salz'}","['Schwierigkeit mittel', 'Rezepte mit Alkohol', 'Provenzalische Küche', 'Fischsuppen', 'Fischeintopf', 'Tomate', 'Wittling', 'Barsch', 'Französische Suppen']",https://www.kochwiki.org/wiki/Bouillabaisse
Brodet,1236,"Das Brodet (Neretvanski brodet) ist ein Fischgericht der traditionellen Küche Istriens, das mit verschiedenen Meeresfischen zubereitet wird. Eine Art Fischeintopf, der einfach und schnell zubereitet ist und köstlich schmeckt.
","{'Zitrone', 'Fisch', 'Zwiebel', 'Chili', 'Tomate', 'Wolfsbarsch', 'Lorbeer', 'Seeteufel', 'Pfeffer', 'Petersilie', 'Olive', 'Basilikum', 'Knoblauch', 'Dorade', 'Salz', 'Olivenöl'}","['Schwierigkeit mittel', 'Rezepte mit Alkohol', 'Kroatische Küche', 'Fischeintopf', 'Karpfen', 'Seeteufel', 'Barsch']",https://www.kochwiki.org/wiki/Brodet
